,AGTP_ch4
755,3.450180013630163e-15
756,3.446714717503344e-15
757,3.4432680545659948e-15
758,3.439839890025023e-15
759,3.4364300901389875e-15
760,3.4330385222095684e-15
761,3.429665054573091e-15
762,3.4263095565921327e-15
763,3.4229718986471897e-15
764,3.4196519521284164e-15
765,3.416349589427442e-15
766,3.413064683929233e-15
767,3.4097971100040524e-15
768,3.4065467429994546e-15
769,3.4033134592323735e-15
770,3.4000971359812577e-15
771,3.396897651478281e-15
772,3.3937148849016105e-15
773,3.3905487163677464e-15
774,3.387399026923917e-15
775,3.3842656985405427e-15
776,3.3811486141037597e-15
777,3.3780476574080048e-15
778,3.374962713148663e-15
779,3.371893666914781e-15
780,3.3688404051818246e-15
781,3.3658028153045183e-15
782,3.362780785509727e-15
783,3.3597742048894035e-15
784,3.3567829633935936e-15
785,3.353806951823498e-15
786,3.350846061824593e-15
787,3.3479001858798085e-15
788,3.344969217302758e-15
789,3.3420530502310327e-15
790,3.33915157961954e-15
791,3.3362647012339085e-15
792,3.3333923116439395e-15
793,3.330534308217117e-15
794,3.3276905891121668e-15
795,3.3248610532726754e-15
796,3.3220456004207544e-15
797,3.3192441310507634e-15
798,3.31645654642308e-15
799,3.313682748557925e-15
800,3.310922640229235e-15
801,3.3081761249585887e-15
802,3.3054431070091835e-15
803,3.302723491379856e-15
804,3.3000171837991624e-15
805,3.2973240907194965e-15
806,3.294644119311263e-15
807,3.291977177457099e-15
808,3.2893231737461397e-15
809,3.286682017468334e-15
810,3.2840536186088023e-15
811,3.281437887842255e-15
812,3.2788347365274355e-15
813,3.2762440767016233e-15
814,3.273665821075186e-15
815,3.271099883026161e-15
816,3.2685461765948947e-15
817,3.2660046164787223e-15
818,3.263475118026689e-15
819,3.2609575972343172e-15
820,3.2584519707384183e-15
821,3.2559581558119403e-15
822,3.253476070358869e-15
823,3.2510056329091592e-15
824,3.2485467626137175e-15
825,3.2460993792394203e-15
826,3.2436634031641756e-15
827,3.2412387553720256e-15
828,3.2388253574482857e-15
829,3.23642313157473e-15
830,3.2340320005248124e-15
831,3.231651887658925e-15
832,3.229282716919704e-15
833,3.2269244128273603e-15
834,3.224576900475065e-15
835,3.2222401055243575e-15
836,3.2199139542006054e-15
837,3.217598373288488e-15
838,3.215293290127528e-15
839,3.2129986326076564e-15
840,3.21071432916481e-15
841,3.208440308776567e-15
842,3.2061765009578272e-15
843,3.203922835756514e-15
844,3.2016792437493184e-15
845,3.1994456560374794e-15
846,3.1972220042425996e-15
847,3.1950082205024856e-15
848,3.192804237467038e-15
849,3.190609988294161e-15
850,3.1884254066457158e-15
851,3.1862504266835013e-15
852,3.1840849830652683e-15
853,3.1819290109407697e-15
854,3.179782445947842e-15
855,3.177645224208515e-15
856,3.175517282325158e-15
857,3.1733985573766586e-15
858,3.171288986914627e-15
859,3.1691885089596353e-15
860,3.16709706199749e-15
861,3.1650145849755292e-15
862,3.1629410172989583e-15
863,3.160876298827201e-15
864,3.1588203698703024e-15
865,3.15677317118534e-15
866,3.154734643972876e-15
867,3.1527047298734384e-15
868,3.1506833709640262e-15
869,3.1486705097546448e-15
870,3.1466660891848714e-15
871,3.1446700526204526e-15
872,3.1426823438499157e-15
873,3.1407029070812235e-15
874,3.138731686938452e-15
875,3.1367686284584843e-15
876,3.1348136770877514e-15
877,3.1328667786789816e-15
878,3.130927879487987e-15
879,3.1289969261704715e-15
880,3.1270738657788694e-15
881,3.1251586457592044e-15
882,3.1232512139479765e-15
883,3.1213515185690795e-15
884,3.1194595082307326e-15
885,3.1175751319224475e-15
886,3.115698339012017e-15
887,3.113829079242525e-15
888,3.1119673027293842e-15
889,3.110112959957399e-15
890,3.108266001777848e-15
891,3.106426379405598e-15
892,3.1045940444162302e-15
893,3.102768948743201e-15
894,3.1009510446750187e-15
895,3.099140284852449e-15
896,3.0973366222657365e-15
897,3.095540010251855e-15
898,3.0937504024917786e-15
899,3.0919677530077724e-15
900,3.090192016160705e-15
901,3.0884231466473932e-15
902,3.0866610994979513e-15
903,3.0849058300731785e-15
904,3.0831572940619516e-15
905,3.0814154474786585e-15
906,3.0796802466606322e-15
907,3.077951648265619e-15
908,3.0762296092692647e-15
909,3.07451408696262e-15
910,3.072805038949661e-15
911,3.0711024231448438e-15
912,3.069406197770665e-15
913,3.0677163213552456e-15
914,3.0660327527299444e-15
915,3.0643554510269746e-15
916,3.0626843756770544e-15
917,3.0610194864070654e-15
918,3.0593607432377407e-15
919,3.0577081064813594e-15
920,3.0560615367394737e-15
921,3.054420994900644e-15
922,3.0527864421381948e-15
923,3.051157839907992e-15
924,3.049535149946238e-15
925,3.04791833426728e-15
926,3.046307355161435e-15
927,3.0447021751928484e-15
928,3.0431027571973488e-15
929,3.041509064280332e-15
930,3.0399210598146584e-15
931,3.0383387074385748e-15
932,3.036761971053638e-15
933,3.0351908148226713e-15
934,3.0336252031677298e-15
935,3.0320651007680804e-15
936,3.030510472558204e-15
937,3.0289612837258078e-15
938,3.02741749970986e-15
939,3.025879086198635e-15
940,3.024346009127775e-15
941,3.022818234678375e-15
942,3.021295729275072e-15
943,3.019778459584154e-15
944,3.0182663925116924e-15
945,3.0167594952016737e-15
946,3.0152577350341613e-15
947,3.0137610796234634e-15
948,3.0122694968163195e-15
949,3.0107829546900986e-15
950,3.009301421551014e-15
951,3.0078248659323574e-15
952,3.0063532565927313e-15
953,3.0048865625143186e-15
954,3.0034247529011473e-15
955,3.0019677971773777e-15
956,3.0005156649856026e-15
957,2.999068326185157e-15
958,2.997625750850452e-15
959,2.9961879092693084e-15
960,2.9947547719413133e-15
961,2.9933263095761876e-15
962,2.9919024930921654e-15
963,2.9904832936143885e-15
964,2.989068682473312e-15
965,2.9876586312031225e-15
966,2.9862531115401722e-15
967,2.98485209542142e-15
968,2.983455554982894e-15
969,2.982063462558158e-15
970,2.9806757906767907e-15
971,2.979292512062886e-15
972,2.977913599633554e-15
973,2.976539026497444e-15
974,2.975168765953269e-15
975,2.973802791488354e-15
976,2.972441076777186e-15
977,2.9710835956799814e-15
978,2.9697303222412613e-15
979,2.9683812306884406e-15
980,2.967036295430431e-15
981,2.9656954910562477e-15
982,2.9643587923336337e-15
983,2.9630261742076912e-15
984,2.9616976117995326e-15
985,2.9603730804049285e-15
986,2.9590525554929743e-15
987,2.957736012704774e-15
988,2.956423427852119e-15
989,2.9551147769161924e-15
990,2.953810036046273e-15
991,2.9525091815584575e-15
992,2.9512121899343893e-15
993,2.9499190378199937e-15
994,2.9486297020242352e-15
995,2.9473441595178675e-15
996,2.94606238743221e-15
997,2.9447843630579255e-15
998,2.9435100638438076e-15
999,2.9422394673955804e-15
1000,2.940972551474707e-15
