,AGTP_ch4
490,4.904555064807677e-15
491,4.885362124499602e-15
492,4.866312407193493e-15
493,4.8474047600241184e-15
494,4.828638039607519e-15
495,4.8100111119629005e-15
496,4.791522852435179e-15
497,4.773172145618119e-15
498,4.754957885278098e-15
499,4.736878974278483e-15
500,4.718934324504604e-15
501,4.701122856789324e-15
502,4.683443500839232e-15
503,4.665895195161403e-15
504,4.648476886990747e-15
505,4.631187532217969e-15
506,4.614026095318069e-15
507,4.596991549279465e-15
508,4.580082875533637e-15
509,4.5632990638853884e-15
510,4.546639112443636e-15
511,4.530102027552769e-15
512,4.513686823724576e-15
513,4.49739252357071e-15
514,4.4812181577357036e-15
515,4.465162764830527e-15
516,4.449225391366696e-15
517,4.4334050916908954e-15
518,4.417700927920159e-15
519,4.4021119698775535e-15
520,4.386637295028399e-15
521,4.3712759884170104e-15
522,4.356027142603947e-15
523,4.3408898576037745e-15
524,4.3258632408233506e-15
525,4.310946407000591e-15
526,4.296138478143751e-15
527,4.281438583471201e-15
528,4.266845859351692e-15
529,4.252359449245119e-15
530,4.237978503643751e-15
531,4.2237021800139605e-15
532,4.209529642738432e-15
533,4.195460063058821e-15
534,4.181492619018917e-15
535,4.167626495408246e-15
536,4.1538608837061465e-15
537,4.140194982026308e-15
538,4.126627995061766e-15
539,4.113159134030342e-15
540,4.099787616620534e-15
541,4.086512666937861e-15
542,4.0733335154516414e-15
543,4.060249398942218e-15
544,4.0472595604485955e-15
545,4.034363249216551e-15
546,4.021559720647126e-15
547,4.00884823624558e-15
548,3.9962280635707436e-15
549,3.983698476184803e-15
550,3.971258753603488e-15
551,3.958908181246681e-15
552,3.946646050389431e-15
553,3.934471658113368e-15
554,3.922384307258531e-15
555,3.910383306375578e-15
556,3.898467969678407e-15
557,3.886637616997159e-15
558,3.874891573731621e-15
559,3.863229170804996e-15
560,3.851649744618078e-15
561,3.8401526370037905e-15
562,3.8287371951821145e-15
563,3.817402771715374e-15
564,3.8061487244639106e-15
565,3.794974416542116e-15
566,3.783879216274825e-15
567,3.772862497154075e-15
568,3.76192363779624e-15
569,3.751062021899485e-15
570,3.7402770382016084e-15
571,3.729568080438213e-15
572,3.718934547301237e-15
573,3.708375842397825e-15
574,3.697891374209532e-15
575,3.6874805560518825e-15
576,3.677142806034255e-15
577,3.6668775470201045e-15
578,3.656684206587511e-15
579,3.646562216990065e-15
580,3.636511015118065e-15
581,3.626530042460053e-15
582,3.616618745064655e-15
583,3.606776573502757e-15
584,3.597002982829972e-15
585,3.5872974325494464e-15
586,3.577659386574949e-15
587,3.568088313194293e-15
588,3.5585836850330435e-15
589,3.5491449790185346e-15
590,3.5397716763441886e-15
591,3.5304632624341258e-15
592,3.521219226908074e-15
593,3.512039063546572e-15
594,3.5029222702564576e-15
595,3.493868349036645e-15
