,AGTP_ch4
297,1.317284249659588e-14
298,1.3086721703108064e-14
299,1.3001280429010169e-14
300,1.291651344906635e-14
301,1.2832415570369467e-14
302,1.2748981632390799e-14
303,1.2666206507020331e-14
304,1.2584085098597863e-14
305,1.2502612343935443e-14
306,1.2421783212331161e-14
307,1.2341592705574894e-14
308,1.2262035857946122e-14
309,1.2183107736204106e-14
310,1.2104803439570825e-14
311,1.2027118099706766e-14
312,1.1950046880680031e-14
313,1.1873584978928806e-14
314,1.1797727623217579e-14
315,1.1722470074587335e-14
316,1.164780762629986e-14
317,1.157373560377652e-14
318,1.1500249364531562e-14
319,1.1427344298100358e-14
320,1.1355015825962589e-14
321,1.1283259401460706e-14
322,1.1212070509713774e-14
323,1.1141444667527e-14
324,1.1071377423296953e-14
325,1.1001864356912816e-14
326,1.093290107965374e-14
327,1.0864483234082524e-14
328,1.0796606493935722e-14
329,1.0729266564010373e-14
330,1.066245918004748e-14
331,1.059618010861243e-14
332,1.0530425146972433e-14
333,1.0465190122971133e-14
334,1.0400470894900558e-14
335,1.0336263351370482e-14
336,1.027256341117542e-14
337,1.0209367023159202e-14
338,1.0146670166077433e-14
339,1.0084468848457857e-14
340,1.0022759108458689e-14
341,9.961537013725126e-15
342,9.900798661244083e-15
343,9.840540177197245e-15
344,9.780757716812519e-15
345,9.721447464214054e-15
346,9.662605632270824e-15
347,9.60422846244393e-15
348,9.546312224632653e-15
349,9.48885321701938e-15
350,9.431847765913457e-15
351,9.375292225594058e-15
352,9.319182978152147e-15
353,9.263516433331551e-15
354,9.208289028369326e-15
355,9.153497227835322e-15
356,9.09913752347121e-15
357,9.045206434028818e-15
358,8.991700505108007e-15
359,8.938616308994063e-15
360,8.885950444494654e-15
361,8.83369953677646e-15
362,8.781860237201471e-15
363,8.730429223163067e-15
364,8.679403197921818e-15
365,8.628778890441185e-15
366,8.578553055223087e-15
367,8.528722472143378e-15
368,8.479283946287321e-15
369,8.430234307785026e-15
370,8.381570411646974e-15
371,8.333289137599613e-15
372,8.285387389921078e-15
373,8.237862097277038e-15
374,8.190710212556781e-15
375,8.143928712709467e-15
376,8.097514598580682e-15
377,8.051464894749229e-15
378,8.00577664936425e-15
379,7.960446933982698e-15
380,7.915472843407135e-15
381,7.870851495523961e-15
382,7.826580031142015e-15
383,7.782655613831661e-15
384,7.739075429764285e-15
385,7.69583668755229e-15
386,7.652936618089611e-15
387,7.610372474392729e-15
388,7.568141531442224e-15
389,7.526241086024897e-15
390,7.484668456576467e-15
391,7.443420983024837e-15
392,7.402496026634013e-15
393,7.361890969848586e-15
394,7.321603216138913e-15
395,7.281630189846891e-15
396,7.241969336032429e-15
397,7.202618120320598e-15
398,7.163574028749445e-15
399,7.12483456761853e-15
400,7.086397263338157e-15
401,7.04825966227932e-15
402,7.0104193306244e-15
403,6.972873854218591e-15
404,6.935620838422058e-15
405,6.898657907962862e-15
406,6.86198270679065e-15
407,6.825592897931113e-15
408,6.789486163341216e-15
409,6.753660203765206e-15
410,6.7181127385914196e-15
411,6.6828415057098755e-15
412,6.647844261370673e-15
413,6.613118780043185e-15
414,6.578662854276059e-15
415,6.544474294558044e-15
416,6.510550929179607e-15
417,6.476890604095396e-15
418,6.443491182787498e-15
419,6.410350546129547e-15
420,6.377466592251628e-15
421,6.344837236406043e-15
422,6.312460410833874e-15
423,6.280334064632415e-15
424,6.248456163623392e-15
425,6.216824690222058e-15
426,6.185437643307103e-15
427,6.154293038091391e-15
428,6.1233889059935684e-15
429,6.092723294510462e-15
430,6.062294267090346e-15
431,6.0320999030070285e-15
432,6.0021382972347905e-15
433,5.9724075603241335e-15
434,5.942905818278386e-15
435,5.913631212431129e-15
436,5.884581899324451e-15
437,5.855756050588052e-15
438,5.827151852819148e-15
439,5.7987675074632346e-15
440,5.770601230695647e-15
441,5.742651253303959e-15
442,5.714915820571203e-15
443,5.687393192159922e-15
444,5.6600816419969974e-15
445,5.632979458159343e-15
446,5.6060849427603786e-15
447,5.579396411837324e-15
448,5.552912195239307e-15
449,5.526630636516257e-15
450,5.500550092808625e-15
451,5.474668934737873e-15
452,5.4489855462977995e-15
453,5.423498324746615e-15
454,5.3982056804998276e-15
455,5.3731060370239325e-15
456,5.348197830730835e-15
457,5.3234795108731085e-15
458,5.298949539439993e-15
459,5.274606391054183e-15
460,5.25044855286937e-15
461,5.226474524468559e-15
462,5.202682817763155e-15
463,5.179071956892798e-15
464,5.1556404781259404e-15
465,5.132386929761201e-15
466,5.1093098720294435e-15
467,5.086407876996611e-15
468,5.0636795284673e-15
469,5.041123421889046e-15
470,5.0187381642573785e-15
471,4.996522374021563e-15
472,4.974474680991103e-15
473,4.952593726242926e-15
474,4.930878162029312e-15
475,4.90932665168651e-15
476,4.887937869544082e-15
477,4.866710500834932e-15
478,4.8456432416060464e-15
479,4.824734798629911e-15
480,4.803983889316639e-15
481,4.7833892416267605e-15
482,4.7629495939847264e-15
483,4.7426636951930474e-15
484,4.722530304347136e-15
485,4.702548190750816e-15
486,4.682716133832473e-15
487,4.6630329230618885e-15
488,4.643497357867725e-15
489,4.624108247555656e-15
490,4.604864411227133e-15
491,4.585764677698832e-15
492,4.566807885422696e-15
493,4.547992882406639e-15
494,4.529318526135874e-15
495,4.510783683494855e-15
496,4.492387230689862e-15
497,4.4741280531721836e-15
498,4.456005045561925e-15
499,4.438017111572423e-15
500,4.420163163935261e-15
501,4.4024421243258775e-15
502,4.384852923289804e-15
503,4.367394500169454e-15
504,4.350065803031516e-15
505,4.332865788594949e-15
506,4.315793422159518e-15
507,4.298847677534953e-15
508,4.2820275369706285e-15
509,4.2653319910858574e-15
510,4.248760038800716e-15
511,4.232310687267438e-15
512,4.215982951802369e-15
513,4.199775855818467e-15
514,4.18368843075835e-15
515,4.167719716027881e-15
516,4.151868758930307e-15
517,4.136134614600917e-15
518,4.120516345942245e-15
519,4.105013023559783e-15
520,4.089623725698235e-15
521,4.07434753817828e-15
522,4.059183554333851e-15
523,4.044130874949927e-15
524,4.029188608200839e-15
525,4.014355869589064e-15
526,3.999631781884534e-15
527,3.985015475064433e-15
528,3.9705060862534895e-15
529,3.956102759664763e-15
530,3.941804646540898e-15
531,3.9276109050958756e-15
532,3.913520700457243e-15
533,3.899533204608803e-15
534,3.885647596333788e-15
535,3.871863061158491e-15
536,3.858178791296364e-15
537,3.8445939855925715e-15
538,3.83110784946901e-15
539,3.817719594869768e-15
540,3.804428440207038e-15
541,3.791233610307474e-15
542,3.7781343363589996e-15
543,3.76512985585804e-15
544,3.752219412557188e-15
545,3.739402256413329e-15
546,3.726677643536148e-15
547,3.714044836137107e-15
548,3.701503102478812e-15
549,3.689051716824813e-15
550,3.676689959389814e-15
551,3.664417116290292e-15
552,3.652232479495535e-15
553,3.640135346779066e-15
554,3.62812502167049e-15
555,3.616200813407717e-15
556,3.604362036889604e-15
557,3.592608012628969e-15
558,3.5809380667060045e-15
559,3.569351530722072e-15
560,3.557847741753884e-15
561,3.5464260423080605e-15
562,3.5350857802760686e-15
563,3.5238263088895223e-15
564,3.512646986675873e-15
565,3.5015471774144516e-15
566,3.490526250092878e-15
567,3.479583578863832e-15
568,3.468718543002199e-15
569,3.4579305268625405e-15
570,3.4472189198369454e-15
571,3.4365831163132153e-15
572,3.4260225156334067e-15
573,3.4155365220527136e-15
574,3.405124544698684e-15
575,3.394785997530792e-15
576,3.38452029930033e-15
577,3.374326873510645e-15
578,3.3642051483776985e-15
579,3.354154556790962e-15
580,3.3441745362746237e-15
581,3.3342645289491385e-15
582,3.324423981493078e-15
583,3.314652345105312e-15
584,3.304949075467494e-15
585,3.295313632706868e-15
586,3.2857454813593787e-15
587,3.2762440903330928e-15
588,3.266808932871923e-15
589,3.257439486519652e-15
590,3.2481352330842608e-15
591,3.2388956586025497e-15
592,3.2297202533050557e-15
593,3.2206085115812657e-15
594,3.211559931945113e-15
595,3.202574017000763e-15
596,3.1936502734086894e-15
597,3.1847882118520274e-15
598,3.1759873470032096e-15
599,3.167247197490876e-15
600,3.158567285867071e-15
601,3.1499471385746983e-15
602,3.1413862859152587e-15
603,3.1328842620168544e-15
604,3.1244406048024572e-15
605,3.1160548559584436e-15
606,3.1077265609033924e-15
607,3.0994552687571395e-15
608,3.0912405323100975e-15
609,3.083081907992825e-15
610,3.0749789558458505e-15
611,3.066931239489751e-15
612,3.0589383260954796e-15
613,3.050999786354936e-15
614,3.043115194451792e-15
615,3.0352841280325485e-15
616,3.0275061681778458e-15
617,3.0197808993740024e-15
618,3.0121079094848e-15
619,3.0044867897235037e-15
620,2.9969171346251052e-15
621,2.9893985420188097e-15
622,2.9819306130007486e-15
623,2.974512951906919e-15
624,2.967145166286348e-15
625,2.9598268668744806e-15
626,2.952557667566797e-15
627,2.9453371853926413e-15
628,2.9381650404892715e-15
629,2.931040856076129e-15
630,2.9239642584293207e-15
631,2.9169348768563098e-15
632,2.9099523436708272e-15
633,2.903016294167989e-15
634,2.896126366599613e-15
635,2.8892822021497543e-15
636,2.882483444910436e-15
637,2.8757297418575903e-15
638,2.869020742827192e-15
639,2.862356100491597e-15
640,2.8557354703360746e-15
641,2.8491585106355456e-15
642,2.8426248824314945e-15
643,2.8361342495090988e-15
644,2.8296862783745276e-15
645,2.82328063823245e-15
646,2.8169170009637125e-15
647,2.8105950411032145e-15
648,2.8043144358179636e-15
649,2.798074864885317e-15
650,2.791876010671408e-15
651,2.785717558109736e-15
652,2.7795991946799617e-15
653,2.773520610386853e-15
654,2.767481497739427e-15
655,2.7614815517302526e-15
656,2.755520469814934e-15
657,2.7495979518917625e-15
658,2.7437137002815353e-15
659,2.7378674197075497e-15
660,2.732058817275759e-15
661,2.7262876024550933e-15
662,2.720553487057955e-15
663,2.714856185220856e-15
664,2.7091954133852396e-15
665,2.7035708902784503e-15
666,2.6979823368948633e-15
667,2.692429476477174e-15
668,2.686912034497839e-15
669,2.6814297386406837e-15
670,2.6759823187826465e-15
671,2.67056950697569e-15
672,2.665191037428853e-15
673,2.659846646490463e-15
674,2.6545360726304834e-15
675,2.649259056423022e-15
676,2.6440153405289754e-15
677,2.6388046696788217e-15
678,2.6336267906555603e-15
679,2.6284814522777864e-15
680,2.6233684053829152e-15
681,2.618287402810539e-15
682,2.613238199385926e-15
683,2.608220551903664e-15
684,2.603234219111419e-15
685,2.598278961693863e-15
686,2.5933545422566973e-15
687,2.5884607253108452e-15
688,2.583597277256749e-15
689,2.578763966368813e-15
690,2.5739605627799735e-15
691,2.5691868384663937e-15
692,2.5644425672322916e-15
693,2.5597275246948863e-15
694,2.555041488269484e-15
695,2.550384237154673e-15
696,2.545755552317649e-15
697,2.5411552164796673e-15
698,2.5365830141016063e-15
699,2.532038731369661e-15
700,2.5275221561811493e-15
701,2.5230330781304392e-15
702,2.5185712884949938e-15
703,2.5141365802215323e-15
704,2.5097287479123026e-15
705,2.5053475878114778e-15
706,2.5009928977916544e-15
707,2.496664477340473e-15
708,2.4923621275473424e-15
709,2.488085651090281e-15
710,2.483834852222865e-15
711,2.479609536761283e-15
712,2.475409512071507e-15
713,2.4712345870565557e-15
714,2.4670845721438776e-15
715,2.4629592792728357e-15
716,2.458858521882292e-15
717,2.454782114898299e-15
718,2.4507298747218933e-15
719,2.446701619216992e-15
720,2.4426971676983856e-15
721,2.4387163409198396e-15
722,2.434758961062282e-15
723,2.4308248517221057e-15
724,2.42691383789955e-15
725,2.423025745987197e-15
726,2.41916040375855e-15
727,2.4153176403567134e-15
728,2.411497286283165e-15
729,2.407699173386625e-15
730,2.403923134852012e-15
731,2.400169005189494e-15
732,2.3964366202236355e-15
733,2.392725817082625e-15
734,2.3890364341875957e-15
735,2.3853683112420456e-15
736,2.381721289221325e-15
737,2.3780952103622337e-15
738,2.3744899181526846e-15
739,2.370905257321473e-15
740,2.3673410738281125e-15
741,2.363797214852768e-15
742,2.36027352878627e-15
743,2.356769865220205e-15
744,2.3532860749371e-15
745,2.3498220099006765e-15
746,2.3463775232461967e-15
747,2.3429524692708818e-15
748,2.339546703424414e-15
749,2.336160082299516e-15
750,2.3327924636226088e-15
751,2.3294437062445483e-15
752,2.3261136701314416e-15
753,2.322802216355528e-15
754,2.319509207086153e-15
755,2.3162345055808033e-15
756,2.3129779761762235e-15
757,2.3097394842796048e-15
758,2.306518896359845e-15
759,2.3033160799388858e-15
760,2.3001309035831167e-15
761,2.296963236894853e-15
762,2.2938129505038872e-15
763,2.290679916059106e-15
764,2.287564006220176e-15
765,2.2844650946493075e-15
766,2.2813830560030748e-15
767,2.278317765924314e-15
768,2.275269101034082e-15
769,2.272236938923686e-15
770,2.2692211581467744e-15
771,2.2662216382115033e-15
772,2.2632382595727533e-15
773,2.2602709036244267e-15
774,2.257319452691794e-15
775,2.254383790023919e-15
776,2.251463799786128e-15
777,2.2485593670525637e-15
778,2.24567037779878e-15
779,2.2427967188944153e-15
780,2.2399382780959112e-15
781,2.237094944039306e-15
782,2.2342666062330793e-15
783,2.2314531550510565e-15
784,2.228654481725375e-15
785,2.225870478339506e-15
786,2.223101037821338e-15
787,2.2203460539363144e-15
788,2.2176054212806263e-15
789,2.2148790352744703e-15
790,2.212166792155348e-15
791,2.209468588971437e-15
792,2.206784323575004e-15
793,2.20411389461588e-15
794,2.2014572015349866e-15
795,2.1988141445579168e-15
796,2.196184624688568e-15
797,2.1935685437028296e-15
798,2.190965804142321e-15
799,2.1883763093081833e-15
800,2.1857999632549187e-15
801,2.1832366707842872e-15
802,2.1806863374392492e-15
803,2.1781488694979566e-15
804,2.1756241739678024e-15
805,2.1731121585795068e-15
806,2.1706127317812636e-15
807,2.168125802732929e-15
808,2.1656512813002603e-15
809,2.163189078049203e-15
810,2.1607391042402203e-15
811,2.1583012718226802e-15
812,2.155875493429277e-15
813,2.153461682370503e-15
814,2.1510597526291755e-15
815,2.1486696188549912e-15
816,2.14629119635914e-15
817,2.143924401108959e-15
818,2.1415691497226278e-15
819,2.139225359463913e-15
820,2.1368929482369517e-15
821,2.1345718345810785e-15
822,2.1322619376657007e-15
823,2.1299631772852064e-15
824,2.1276754738539247e-15
825,2.1253987484011186e-15
826,2.123132922566028e-15
827,2.120877918592946e-15
828,2.1186336593263404e-15
829,2.1164000682060118e-15
830,2.1141770692622988e-15
831,2.1119645871113133e-15
832,2.1097625469502244e-15
833,2.1075708745525718e-15
834,2.1053894962636264e-15
835,2.103218338995785e-15
836,2.101057330224005e-15
837,2.098906397981271e-15
838,2.096765470854108e-15
839,2.094634477978127e-15
840,2.0925133490336035e-15
841,2.090402014241097e-15
842,2.088300404357113e-15
843,2.0862084506697827e-15
844,2.084126084994598e-15
845,2.082053239670168e-15
846,2.079989847554021e-15
847,2.077935842018427e-15
848,2.0758911569462746e-15
849,2.0738557267269594e-15
850,2.071829486252325e-15
851,2.0698123709126304e-15
852,2.0678043165925423e-15
853,2.0658052596671772e-15
854,2.063815136998164e-15
855,2.061833885929739e-15
856,2.0598614442848826e-15
857,2.0578977503614775e-15
858,2.055942742928503e-15
859,2.0539963612222604e-15
860,2.0520585449426316e-15
861,2.050129234249363e-15
862,2.0482083697583886e-15
863,2.0462958925381664e-15
864,2.044391744106073e-15
865,2.0424958664247983e-15
866,2.0406082018987888e-15
867,2.038728693370713e-15
868,2.0368572841179595e-15
869,2.0349939178491574e-15
870,2.0331385387007327e-15
871,2.031291091233491e-15
872,2.0294515204292243e-15
873,2.0276197716873487e-15
874,2.025795790821575e-15
875,2.0239795240565925e-15
876,2.0221709180247965e-15
877,2.020369919763032e-15
878,2.0185764767093673e-15
879,2.0167905366998936e-15
880,2.0150120479655538e-15
881,2.013240959128993e-15
882,2.0114772192014343e-15
883,2.009720777579591e-15
884,2.007971584042586e-15
885,2.006229588748911e-15
886,2.0044947422334083e-15
887,2.0027669954042716e-15
888,2.0010462995400755e-15
889,1.9993326062868298e-15
890,1.997625867655055e-15
891,1.9959260360168902e-15
892,1.9942330641032086e-15
893,1.9925469050007736e-15
894,1.9908675121494073e-15
895,1.989194839339189e-15
896,1.9875288407076705e-15
897,1.9858694707371185e-15
898,1.984216684251779e-15
899,1.9825704364151657e-15
900,1.980930682727359e-15
901,1.979297379022351e-15
902,1.977670481465385e-15
903,1.9760499465503387e-15
904,1.9744357310971116e-15
905,1.9728277922490497e-15
906,1.971226087470379e-15
907,1.9696305745436648e-15
908,1.9680412115672924e-15
909,1.96645795695297e-15
910,1.964880769423242e-15
911,1.9633096080090405e-15
912,1.961744432047239e-15
913,1.960185201178234e-15
914,1.9586318753435526e-15
915,1.957084414783464e-15
916,1.9555427800346268e-15
917,1.954006931927745e-15
918,1.952476831585247e-15
919,1.9509524404189836e-15
920,1.949433720127945e-15
921,1.9479206326959923e-15
922,1.9464131403896163e-15
923,1.9449112057557044e-15
924,1.943414791619334e-15
925,1.94192386108158e-15
926,1.940438377517335e-15
927,1.938958304573165e-15
928,1.9374836061651596e-15
929,1.9360142464768156e-15
930,1.9345501899569316e-15
931,1.9330914013175245e-15
932,1.9316378455317533e-15
933,1.9301894878318714e-15
934,1.9287462937071918e-15
935,1.927308228902061e-15
936,1.9258752594138623e-15
937,1.924447351491025e-15
938,1.9230244716310557e-15
939,1.9216065865785847e-15
940,1.920193663323423e-15
