,AGTP_n2o
383,1.3335234748358173e-13
384,1.332741888376482e-13
385,1.3319605342148667e-13
386,1.3311794141810088e-13
387,1.33039853008099e-13
388,1.3296178836974618e-13
389,1.328837476790157e-13
390,1.3280573110963865e-13
391,1.327277388331524e-13
392,1.3264977101894762e-13
393,1.325718278343141e-13
394,1.3249390944448512e-13
395,1.3241601601268099e-13
396,1.3233814770015097e-13
397,1.3226030466621442e-13
398,1.3218248706830062e-13
399,1.3210469506198748e-13
400,1.3202692880103942e-13
401,1.319491884374439e-13
402,1.3187147412144737e-13
403,1.3179378600158984e-13
404,1.317161242247389e-13
405,1.3163848893612233e-13
406,1.3156088027936043e-13
407,1.31483298396497e-13
408,1.3140574342802975e-13
409,1.3132821551293976e-13
410,1.312507147887203e-13
411,1.3117324139140469e-13
412,1.3109579545559355e-13
413,1.3101837711448138e-13
414,1.309409864998821e-13
415,1.3086362374225444e-13
416,1.3078628897072624e-13
417,1.3070898231311818e-13
418,1.3063170389596719e-13
419,1.305544538445486e-13
420,1.3047723228289856e-13
421,1.3040003933383508e-13
422,1.3032287511897904e-13
423,1.3024573975877435e-13
424,1.301686333725079e-13
425,1.300915560783285e-13
426,1.30014507993266e-13
427,1.299374892332492e-13
428,1.2986049991312382e-13
429,1.2978354014666986e-13
430,1.2970661004661835e-13
431,1.2962970972466787e-13
432,1.2955283929150068e-13
433,1.2947599885679808e-13
434,1.2939918852925602e-13
435,1.2932240841659956e-13
436,1.2924565862559764e-13
437,1.291689392620769e-13
438,1.2909225043093572e-13
439,1.2901559223615744e-13
440,1.2893896478082347e-13
441,1.2886236816712605e-13
442,1.2878580249638068e-13
443,1.2870926786903828e-13
444,1.286327643846969e-13
445,1.285562921421134e-13
446,1.2847985123921467e-13
447,1.2840344177310857e-13
448,1.2832706384009456e-13
449,1.2825071753567442e-13
450,1.2817440295456224e-13
451,1.2809812019069443e-13
452,1.2802186933723933e-13
453,1.279456504866072e-13
454,1.278694637304587e-13
455,1.2779330915971473e-13
456,1.277171868645646e-13
457,1.276410969344752e-13
458,1.2756503945819914e-13
459,1.27489014523783e-13
460,1.2741302221857562e-13
461,1.2733706262923562e-13
462,1.272611358417393e-13
463,1.2718524194138824e-13
464,1.2710938101281646e-13
465,1.2703355313999764e-13
466,1.2695775840625227e-13
467,1.2688199689425434e-13
468,1.268062686860382e-13
469,1.2673057386300514e-13
470,1.2665491250592971e-13
471,1.2657928469496607e-13
472,1.2650369050965412e-13
473,1.2642813002892562e-13
474,1.2635260333111e-13
475,1.2627711049394011e-13
476,1.2620165159455802e-13
477,1.2612622670952038e-13
478,1.2605083591480394e-13
479,1.259754792858109e-13
480,1.2590015689737406e-13
481,1.2582486882376187e-13
482,1.2574961513868358e-13
483,1.2567439591529393e-13
484,1.2559921122619824e-13
485,1.2552406114345682e-13
486,1.2544894573858978e-13
487,1.253738650825815e-13
488,1.2529881924588517e-13
489,1.2522380829842696e-13
490,1.251488323096104e-13
491,1.2507389134832067e-13
492,1.2499898548292868e-13
493,1.2492411478129495e-13
494,1.2484927931077381e-13
495,1.2477447913821718e-13
496,1.2469971432997847e-13
497,1.246249849519163e-13
498,1.2455029106939822e-13
499,1.244756327473044e-13
500,1.2440101005003104e-13
501,1.2432642304149411e-13
502,1.2425187178513276e-13
503,1.2417735634391243e-13
504,1.2410287678032864e-13
505,1.2402843315641007e-13
506,1.2395402553372167e-13
507,1.2387965397336805e-13
508,1.2380531853599653e-13
509,1.2373101928180027e-13
510,1.2365675627052123e-13
511,1.2358252956145327e-13
512,1.2350833921344496e-13
513,1.2343418528490264e-13
514,1.2336006783379325e-13
515,1.23285986917647e-13
516,1.2321194259356033e-13
517,1.2313793491819858e-13
518,1.2306396394779866e-13
519,1.2299002973817186e-13
520,1.2291613234470625e-13
521,1.2284227182236948e-13
522,1.2276844822571112e-13
523,1.2269466160886548e-13
524,1.2262091202555384e-13
525,1.2254719952908706e-13
526,1.224735241723679e-13
527,1.2239988600789348e-13
528,1.2232628508775766e-13
529,1.2225272146365328e-13
530,1.2217919518687473e-13
531,1.221057063083198e-13
532,1.2203225487849244e-13
533,1.2195884094750447e-13
534,1.218854645650782e-13
535,1.218121257805484e-13
536,1.2173882464286452e-13
537,1.2166556120059285e-13
538,1.2159233550191845e-13
539,1.2151914759464737e-13
540,1.2144599752620888e-13
541,1.213728853436571e-13
542,1.2129981109367335e-13
543,1.212267748225681e-13
544,1.2115377657628273e-13
545,1.2108081640039177e-13
546,1.2100789434010461e-13
547,1.2093501044026763e-13
548,1.2086216474536583e-13
549,1.2078935729952502e-13
550,1.2071658814651346e-13
551,1.2064385732974372e-13
552,1.2057116489227462e-13
553,1.2049851087681306e-13
554,1.204258953257155e-13
555,1.2035331828099024e-13
556,1.2028077978429875e-13
557,1.202082798769577e-13
558,1.2013581859994047e-13
559,1.2006339599387909e-13
560,1.1999101209906583e-13
561,1.1991866695545478e-13
562,1.1984636060266385e-13
563,1.1977409307997597e-13
564,1.1970186442634128e-13
565,1.1962967468037825e-13
566,1.1955752388037566e-13
567,1.1948541206429413e-13
568,1.1941333926976754e-13
569,1.1934130553410491e-13
570,1.1926931089429177e-13
571,1.1919735538699172e-13
572,1.1912543904854818e-13
573,1.1905356191498564e-13
574,1.189817240220115e-13
575,1.1890992540501737e-13
576,1.1883816609908062e-13
577,1.1876644613896592e-13
578,1.1869476555912678e-13
579,1.186231243937069e-13
580,1.185515226765417e-13
581,1.1847996044115987e-13
582,1.1840843772078463e-13
583,1.183369545483353e-13
584,1.1826551095642887e-13
585,1.18194106977381e-13
586,1.1812274264320785e-13
587,1.1805141798562738e-13
588,1.1798013303606055e-13
589,1.1790888782563293e-13
590,1.1783768238517605e-13
591,1.1776651674522863e-13
592,1.1769539093603812e-13
593,1.1762430498756193e-13
594,1.1755325892946883e-13
595,1.1748225279114034e-13
596,1.174112866016719e-13
597,1.173403603898744e-13
598,1.1726947418427525e-13
599,1.1719862801312002e-13
600,1.1712782190437348e-13
601,1.170570558857209e-13
602,1.169863299845695e-13
603,1.1691564422804961e-13
604,1.1684499864301603e-13
605,1.1677439325604913e-13
606,1.167038280934563e-13
607,1.166333031812732e-13
608,1.1656281854526474e-13
