,AGTP_co2
481,4.2934619919080843e-16
482,4.292093670511978e-16
483,4.290729489037822e-16
484,4.2893694344710037e-16
485,4.28801349385991e-16
486,4.286661654315184e-16
487,4.285313903008976e-16
488,4.2839702271742344e-16
489,4.282630614103981e-16
490,4.28129505115063e-16
491,4.2799635257252883e-16
492,4.278636025297096e-16
493,4.277312537392564e-16
494,4.2759930495949265e-16
495,4.274677549543509e-16
496,4.2733660249331054e-16
497,4.272058463513362e-16
498,4.2707548530881834e-16
499,4.2694551815151454e-16
500,4.268159436704908e-16
501,4.266867606620657e-16
502,4.265579679277542e-16
503,4.2642956427421295e-16
504,4.263015485131872e-16
505,4.261739194614572e-16
506,4.260466759407872e-16
507,4.25919816777874e-16
508,4.2579334080429803e-16
509,4.2566724685647303e-16
510,4.255415337755993e-16
511,4.254162004076156e-16
512,4.2529124560315297e-16
513,4.251666682174896e-16
514,4.250424671105049e-16
515,4.2491864114663773e-16
516,4.247951891948408e-16
517,4.2467211012854e-16
518,4.24549402825592e-16
519,4.244270661682438e-16
520,4.243050990430922e-16
521,4.2418350034104447e-16
522,4.240622689572797e-16
523,4.239414037912102e-16
524,4.2382090374644513e-16
525,4.237007677307527e-16
526,4.235809946560247e-16
527,4.234615834382403e-16
528,4.233425329974319e-16
529,4.2322384225765054e-16
530,4.2310551014693225e-16
531,4.229875355972647e-16
532,4.2286991754455493e-16
533,4.2275265492859737e-16
534,4.2263574669304196e-16
535,4.2251919178536376e-16
536,4.224029891568322e-16
537,4.2228713776248136e-16
538,4.2217163656108066e-16
539,4.2205648451510534e-16
540,4.2194168059070896e-16
541,4.2182722375769475e-16
542,4.2171311298948857e-16
543,4.2159934726311134e-16
544,4.2148592555915296e-16
545,4.213728468617459e-16
546,4.2126011015853964e-16
547,4.211477144406749e-16
548,4.210356587027594e-16
549,4.2092394194284256e-16
550,4.208125631623921e-16
551,4.207015213662699e-16
552,4.2059081556270873e-16
553,4.2048044476328917e-16
554,4.2037040798291697e-16
555,4.2026070423980134e-16
556,4.2015133255543187e-16
557,4.2004229195455776e-16
558,4.199335814651666e-16
559,4.1982520011846303e-16
560,4.197171469488483e-16
561,4.1960942099389974e-16
562,4.195020212943514e-16
563,4.1939494689407357e-16
564,4.192881968400538e-16
565,4.191817701823776e-16
566,4.190756659742099e-16
567,4.1896988327177625e-16
568,4.1886442113434447e-16
569,4.1875927862420657e-16
570,4.186544548066615e-16
571,4.1854994874999677e-16
572,4.184457595254723e-16
573,4.1834188620730233e-16
574,4.1823832787263957e-16
575,4.181350836015576e-16
576,4.180321524770356e-16
577,4.1792953358494185e-16
578,4.178272260140176e-16
579,4.177252288558622e-16
580,4.1762354120491633e-16
581,4.175221621584486e-16
582,4.1742109081653877e-16
583,4.173203262820639e-16
584,4.1721986766068365e-16
585,4.171197140608259e-16
586,4.170198645936719e-16
587,4.16920318373143e-16
588,4.168210745158864e-16
589,4.167221321412613e-16
590,4.1662349037132577e-16
591,4.1652514833082315e-16
592,4.1642710514716883e-16
593,4.1632935995043747e-16
594,4.1623191187334976e-16
595,4.161347600512603e-16
