,AGWP_ch4
220,3.025766258325516e-14
221,2.999704189644084e-14
222,2.97386232676443e-14
223,2.9482388121438614e-14
224,2.922831803882232e-14
225,2.8976394755907344e-14
226,2.87266001626178e-14
227,2.8478916301399684e-14
228,2.8233325365941146e-14
229,2.798980969990344e-14
230,2.7748351795662523e-14
231,2.7508934293060915e-14
232,2.727153997817011e-14
233,2.7036151782063155e-14
234,2.680275277959746e-14
235,2.6571326188207825e-14
236,2.6341855366709324e-14
237,2.6114323814110336e-14
238,2.588871516843532e-14
239,2.5665013205557463e-14
240,2.5443201838041e-14
241,2.5223265113993204e-14
242,2.500518721592592e-14
243,2.4788952459626632e-14
244,2.457454529303878e-14
245,2.436195029515167e-14
246,2.4151152174899343e-14
247,2.394213577006885e-14
248,2.3734886046217563e-14
249,2.3529388095599366e-14
250,2.3325627136100126e-14
251,2.312358851018165e-14
252,2.2923257683834813e-14
253,2.2724620245541175e-14
254,2.2527661905243364e-14
255,2.2332368493324067e-14
256,2.2138725959593503e-14
257,2.194672037228536e-14
258,2.175633791706114e-14
259,2.1567564896022793e-14
260,2.138038772673363e-14
261,2.119479294124738e-14
262,2.1010767185145378e-14
263,2.082829721658185e-14
264,2.0647369905337025e-14
265,2.0467972231878402e-14
266,2.0290091286429605e-14
267,2.0113714268047242e-14
268,1.9938828483705385e-14
269,1.9765421347387633e-14
270,1.9593480379186987e-14
271,1.942299320441299e-14
272,1.9253947552706608e-14
273,1.908633125716226e-14
274,1.8920132253457407e-14
275,1.8755338578989283e-14
276,1.859193837201896e-14
277,1.842991987082249e-14
278,1.8269271412849218e-14
279,1.8109981433887118e-14
280,1.7952038467235117e-14
281,1.7795431142882374e-14
282,1.7640148186694393e-14
283,1.7486178419606033e-14
284,1.7333510756821146e-14
285,1.7182134207019117e-14
286,1.7032037871567828e-14
287,1.688321094374341e-14
288,1.673564270795646e-14
289,1.658932253898468e-14
290,1.64442399012121e-14
291,1.6300384347874518e-14
292,1.6157745520311417e-14
293,1.601631314722402e-14
294,1.5876077043939682e-14
295,1.573702711168237e-14
296,1.559915333684931e-14
