,AGWP_n2o
311,9.939329815123827e-12
312,9.967491723211079e-12
313,9.995629896577342e-12
314,1.002374434773557e-11
315,1.0051835089226606e-11
316,1.0079902133618997e-11
317,1.010794549350877e-11
318,1.013596518151923e-11
319,1.016396121030075e-11
320,1.0191933592530558e-11
321,1.0219882340912551e-11
322,1.0247807468177085e-11
323,1.0275708987080767e-11
324,1.0303586910406265e-11
325,1.0331441250962134e-11
326,1.0359272021582591e-11
327,1.038707923512734e-11
328,1.0414862904481379e-11
329,1.0442623042554826e-11
330,1.0470359662282698e-11
331,1.0498072776624779e-11
332,1.0525762398565397e-11
333,1.0553428541113243e-11
334,1.0581071217301229e-11
335,1.0608690440186272e-11
336,1.0636286222849132e-11
337,1.0663858578394244e-11
338,1.0691407519949524e-11
339,1.0718933060666223e-11
340,1.074643521371875e-11
341,1.0773913992304483e-11
342,1.0801369409643617e-11
343,1.0828801478979004e-11
344,1.0856210213575966e-11
345,1.0883595626722163e-11
346,1.0910957731727394e-11
347,1.0938296541923453e-11
348,1.0965612070663972e-11
349,1.0992904331324256e-11
350,1.1020173337301121e-11
351,1.1047419102012739e-11
352,1.107464163889849e-11
353,1.110184096141879e-11
354,1.1129017083054944e-11
355,1.1156170017309007e-11
356,1.1183299777703602e-11
357,1.1210406377781798e-11
358,1.1237489831106933e-11
359,1.1264550151262486e-11
360,1.1291587351851918e-11
361,1.1318601446498515e-11
362,1.1345592448845267e-11
363,1.1372560372554697e-11
364,1.1399505231308715e-11
365,1.1426427038808502e-11
366,1.1453325808774325e-11
367,1.1480201554945432e-11
368,1.1507054291079886e-11
369,1.1533884030954424e-11
370,1.1560690788364338e-11
371,1.1587474577123302e-11
372,1.1614235411063263e-11
373,1.1640973304034285e-11
374,1.166768826990441e-11
375,1.1694380322559536e-11
376,1.1721049475903268e-11
377,1.1747695743856778e-11
378,1.177431914035868e-11
379,1.18009196793649e-11
380,1.1827497374848527e-11
381,1.1854052240799687e-11
382,1.188058429122542e-11
383,1.190709354014952e-11
384,1.193358000161244e-11
385,1.1960043689671136e-11
386,1.1986484618398951e-11
387,1.201290280188547e-11
388,1.2039298254236407e-11
389,1.2065670989573465e-11
390,1.2092021022034223e-11
391,1.2118348365771987e-11
392,1.214465303495569e-11
393,1.2170935043769737e-11
394,1.2197194406413903e-11
395,1.222343113710319e-11
396,1.224964525006774e-11
397,1.2275836759552648e-11
398,1.2302005679817888e-11
399,1.232815202513819e-11
400,1.2354275809802884e-11
401,1.2380377048115815e-11
402,1.2406455754395197e-11
403,1.2432511942973506e-11
404,1.2458545628197348e-11
405,1.2484556824427345e-11
406,1.2510545546038043e-11
407,1.2536511807417735e-11
408,1.2562455622968394e-11
409,1.2588377007105537e-11
410,1.2614275974258109e-11
411,1.2640152538868353e-11
412,1.266600671539173e-11
413,1.2691838518296759e-11
414,1.271764796206494e-11
415,1.2743435061190608e-11
416,1.2769199830180848e-11
417,1.2794942283555365e-11
418,1.2820662435846358e-11
419,1.2846360301598448e-11
420,1.287203589536852e-11
421,1.2897689231725631e-11
422,1.2923320325250912e-11
423,1.2948929190537447e-11
424,1.2974515842190141e-11
425,1.3000080294825641e-11
426,1.3025622563072214e-11
427,1.3051142661569643e-11
428,1.3076640604969106e-11
429,1.3102116407933081e-11
430,1.3127570085135232e-11
431,1.3153001651260305e-11
432,1.3178411121004018e-11
433,1.3203798509072949e-11
434,1.3229163830184453e-11
435,1.325450709906653e-11
436,1.3279828330457728e-11
437,1.3305127539107056e-11
438,1.3330404739773841e-11
439,1.3355659947227675e-11
440,1.3380893176248262e-11
441,1.3406104441625357e-11
442,1.3431293758158632e-11
443,1.345646114065759e-11
444,1.3481606603941459e-11
445,1.350673016283909e-11
446,1.3531831832188874e-11
447,1.3556911626838599e-11
448,1.3581969561645399e-11
449,1.3607005651475621e-11
450,1.3632019911204737e-11
451,1.3657012355717247e-11
452,1.368198299990659e-11
453,1.3706931858675015e-11
454,1.3731858946933516e-11
455,1.3756764279601717e-11
456,1.3781647871607789e-11
457,1.3806509737888346e-11
458,1.3831349893388329e-11
459,1.3856168353060957e-11
460,1.3880965131867587e-11
461,1.3905740244777639e-11
462,1.3930493706768518e-11
463,1.3955225532825473e-11
464,1.3979935737941558e-11
465,1.40046243371175e-11
466,1.4029291345361627e-11
467,1.405393677768976e-11
468,1.407856064912514e-11
469,1.4103162974698321e-11
470,1.4127743769447086e-11
471,1.4152303048416342e-11
472,1.4176840826658067e-11
473,1.4201357119231167e-11
474,1.4225851941201435e-11
475,1.425032530764143e-11
476,1.4274777233630402e-11
477,1.4299207734254197e-11
478,1.432361682460518e-11
479,1.4348004519782133e-11
480,1.4372370834890171e-11
481,1.4396715785040669e-11
482,1.4421039385351157e-11
483,1.4445341650945246e-11
484,1.4469622596952526e-11
485,1.4493882238508503e-11
486,1.4518120590754503e-11
487,1.4542337668837585e-11
488,1.4566533487910445e-11
489,1.4590708063131374e-11
490,1.461486140966411e-11
491,1.4638993542677816e-11
492,1.4663104477346974e-11
493,1.4687194228851277e-11
494,1.4711262812375584e-11
495,1.4735310243109826e-11
496,1.4759336536248907e-11
497,1.478334170699266e-11
498,1.4807325770545726e-11
499,1.4831288742117497e-11
500,1.4855230636922028e-11
501,1.487915147017796e-11
502,1.4903051257108448e-11
503,1.4926930012941065e-11
504,1.4950787752907726e-11
505,1.4974624492244628e-11
506,1.4998440246192157e-11
507,1.5022235029994808e-11
508,1.5046008858901117e-11
509,1.5069761748163574e-11
510,1.5093493713038557e-11
511,1.5117204768786246e-11
512,1.5140894930670553e-11
513,1.5164564213959055e-11
514,1.518821263392288e-11
515,1.5211840205836694e-11
516,1.523544694497857e-11
517,1.5259032866629936e-11
518,1.528259798607552e-11
519,1.530614231860324e-11
520,1.532966587950415e-11
521,1.535316868407237e-11
522,1.5376650747605008e-11
523,1.5400112085402084e-11
524,1.5423552712766466e-11
525,1.544697264500379e-11
526,1.54703718974224e-11
527,1.5493750485333247e-11
528,1.551710842404988e-11
529,1.5540445728888305e-11
530,1.5563762415166948e-11
531,1.5587058498206598e-11
532,1.5610333993330317e-11
533,1.5633588915863375e-11
534,1.565682328113318e-11
535,1.5680037104469208e-11
536,1.570323040120296e-11
537,1.5726403186667853e-11
538,1.5749555476199176e-11
539,1.5772687285134028e-11
540,1.579579862881123e-11
541,1.5818889522571276e-11
542,1.584195998175626e-11
543,1.5865010021709818e-11
544,1.5888039657777043e-11
545,1.591104890530444e-11
546,1.5934037779639846e-11
547,1.595700629613238e-11
548,1.5979954470132362e-11
549,1.6002882316991262e-11
550,1.602578985206162e-11
551,1.6048677090697017e-11
552,1.6071544048251958e-11
553,1.6094390740081855e-11
554,1.6117217181542946e-11
555,1.6140023387992232e-11
556,1.616280937478742e-11
557,1.6185575157286858e-11
558,1.620832075084946e-11
559,1.623104617083468e-11
560,1.62537514326024e-11
561,1.6276436551512933e-11
562,1.62991015429269e-11
563,1.632174642220522e-11
564,1.634437120470899e-11
565,1.6366975905799505e-11
566,1.6389560540838136e-11
567,1.6412125125186293e-11
568,1.6434669674205354e-11
569,1.645719420325664e-11
570,1.647969872770131e-11
571,1.6502183262900353e-11
572,1.6524647824214474e-11
573,1.6547092427004085e-11
574,1.6569517086629226e-11
575,1.6591921818449503e-11
576,1.661430663782406e-11
577,1.6636671560111475e-11
578,1.665901660066976e-11
579,1.6681341774856246e-11
580,1.6703647098027584e-11
581,1.6725932585539646e-11
582,1.6748198252747505e-11
583,1.677044411500535e-11
584,1.6792670187666434e-11
585,1.6814876486083053e-11
586,1.6837063025606466e-11
587,1.6859229821586828e-11
588,1.688137688937316e-11
589,1.69035042443133e-11
590,1.6925611901753827e-11
591,1.6947699877040016e-11
592,1.696976818551581e-11
593,1.6991816842523726e-11
594,1.7013845863404837e-11
595,1.7035855263498693e-11
596,1.7057845058143308e-11
597,1.7079815262675072e-11
598,1.7101765892428712e-11
599,1.7123696962737242e-11
600,1.714560848893192e-11
601,1.7167500486342187e-11
602,1.7189372970295628e-11
603,1.7211225956117908e-11
604,1.7233059459132725e-11
605,1.7254873494661778e-11
606,1.7276668078024703e-11
607,1.729844322453902e-11
608,1.7320198949520107e-11
609,1.7341935268281124e-11
610,1.7363652196132976e-11
611,1.738534974838428e-11
612,1.7407027940341283e-11
613,1.7428686787307863e-11
614,1.7450326304585436e-11
615,1.7471946507472935e-11
616,1.749354741126676e-11
617,1.7515129031260713e-11
618,1.7536691382745993e-11
619,1.75582344810111e-11
620,1.7579758341341826e-11
621,1.7601262979021195e-11
622,1.762274840932942e-11
623,1.7644214647543863e-11
624,1.7665661708938974e-11
625,1.768708960878627e-11
626,1.770849836235427e-11
627,1.7729887984908468e-11
628,1.7751258491711272e-11
629,1.7772609898021973e-11
630,1.7793942219096697e-11
631,1.7815255470188366e-11
632,1.783654966654665e-11
633,1.7857824823417914e-11
634,1.787908095604522e-11
635,1.7900318079668205e-11
636,1.7921536209523126e-11
637,1.7942735360842763e-11
638,1.7963915548856392e-11
639,1.7985076788789737e-11
640,1.8006219095864953e-11
641,1.802734248530055e-11
642,1.8048446972311383e-11
643,1.806953257210859e-11
644,1.809059929989957e-11
645,1.8111647170887918e-11
646,1.813267620027341e-11
647,1.815368640325195e-11
648,1.8174677795015535e-11
649,1.8195650390752217e-11
650,1.8216604205646048e-11
651,1.8237539254877066e-11
652,1.8258455553621247e-11
653,1.827935311705045e-11
654,1.8300231960332407e-11
655,1.8321092098630656e-11
656,1.8341933547104536e-11
657,1.8362756320909106e-11
658,1.838356043519515e-11
659,1.840434590510912e-11
660,1.8425112745793094e-11
661,1.8445860972384747e-11
662,1.8466590600017317e-11
663,1.848730164381956e-11
664,1.8507994118915722e-11
665,1.8528668040425492e-11
666,1.8549323423463983e-11
667,1.856996028314167e-11
668,1.8590578634564387e-11
