,AGWP_co2
446,8.537928101443884e-16
447,8.533176545047275e-16
448,8.528435899426307e-16
449,8.523706133716812e-16
450,8.518987217175337e-16
451,8.514279119177965e-16
452,8.50958180921916e-16
453,8.504895256910657e-16
454,8.500219431980355e-16
455,8.495554304271231e-16
456,8.490899843740288e-16
457,8.486256020457507e-16
458,8.481622804604833e-16
459,8.477000166475164e-16
460,8.472388076471383e-16
461,8.467786505105371e-16
462,8.46319542299708e-16
463,8.458614800873601e-16
464,8.454044609568236e-16
465,8.449484820019618e-16
466,8.444935403270829e-16
467,8.440396330468536e-16
468,8.435867572862139e-16
469,8.431349101802939e-16
470,8.426840888743329e-16
471,8.422342905235987e-16
472,8.417855122933079e-16
473,8.413377513585498e-16
474,8.408910049042094e-16
475,8.404452701248931e-16
476,8.400005442248548e-16
477,8.395568244179241e-16
478,8.391141079274356e-16
479,8.386723919861587e-16
480,8.382316738362293e-16
481,8.377919507290824e-16
482,8.373532199253861e-16
483,8.369154786949763e-16
484,8.364787243167929e-16
485,8.360429540788166e-16
486,8.356081652780076e-16
487,8.351743552202445e-16
488,8.347415212202635e-16
489,8.343096606016015e-16
490,8.338787706965362e-16
491,8.334488488460304e-16
492,8.330198923996757e-16
493,8.32591898715637e-16
494,8.321648651605982e-16
495,8.317387891097095e-16
496,8.3131366794653395e-16
497,8.308894990629959e-16
498,8.304662798593302e-16
499,8.300440077440323e-16
500,8.296226801338085e-16
501,8.292022944535266e-16
502,8.287828481361695e-16
503,8.283643386227864e-16
504,8.279467633624481e-16
505,8.275301198121989e-16
506,8.271144054370137e-16
507,8.266996177097519e-16
508,8.262857541111145e-16
509,8.258728121296006e-16
510,8.254607892614643e-16
511,8.250496830106739e-16
512,8.246394908888695e-16
513,8.242302104153224e-16
514,8.238218391168952e-16
515,8.234143745280017e-16
516,8.230078141905683e-16
517,8.226021556539943e-16
518,8.221973964751152e-16
519,8.217935342181646e-16
520,8.213905664547361e-16
521,8.209884907637487e-16
522,8.205873047314085e-16
523,8.201870059511751e-16
524,8.197875920237245e-16
525,8.193890605569163e-16
526,8.189914091657578e-16
527,8.185946354723705e-16
528,8.181987371059576e-16
529,8.178037117027696e-16
530,8.17409556906073e-16
531,8.170162703661169e-16
532,8.166238497401018e-16
533,8.162322926921481e-16
534,8.158415968932647e-16
535,8.154517600213184e-16
536,8.150627797610044e-16
537,8.146746538038144e-16
538,8.142873798480087e-16
539,8.139009555985859e-16
540,8.135153787672545e-16
541,8.131306470724034e-16
542,8.1274675823907435e-16
543,8.123637099989334e-16
544,8.119815000902436e-16
545,8.116001262578366e-16
546,8.112195862530867e-16
547,8.108398778338832e-16
548,8.104609987646038e-16
549,8.100829468160887e-16
550,8.097057197656139e-16
551,8.093293153968664e-16
552,8.089537314999175e-16
553,8.085789658711985e-16
554,8.082050163134748e-16
555,8.078318806358221e-16
556,8.074595566536009e-16
557,8.070880421884326e-16
558,8.067173350681755e-16
559,8.063474331269013e-16
560,8.059783342048703e-16
561,8.056100361485088e-16
