,AGWP_ch4
313,1.607955604753141e-14
314,1.5959891445709797e-14
315,1.584122440087009e-14
316,1.5723546539960914e-14
317,1.560684956026286e-14
318,1.5491125228798962e-14
319,1.5376365381750155e-14
320,1.5262561923875565e-14
321,1.5149706827937616e-14
322,1.503779213413194e-14
323,1.4926809949522074e-14
324,1.4816752447478772e-14
325,1.4707611867124057e-14
326,1.4599380512779922e-14
327,1.4492050753421575e-14
328,1.438561502213526e-14
329,1.4280065815580613e-14
330,1.417539569345746e-14
331,1.4071597277977122e-14
332,1.3968663253338095e-14
333,1.3866586365206078e-14
334,1.376535942019839e-14
335,1.3664975285372631e-14
336,1.3565426887719707e-14
337,1.3466707213660955e-14
338,1.3368809308549557e-14
339,1.327172627617611e-14
340,1.317545127827826e-14
341,1.3079977534054507e-14
342,1.2985298319682032e-14
343,1.289140696783855e-14
344,1.2798296867228161e-14
345,1.2705961462111146e-14
346,1.2614394251837743e-14
347,1.2523588790385749e-14
348,1.2433538685902039e-14
349,1.2344237600247882e-14
350,1.2255679248548068e-14
351,1.216785739874381e-14
352,1.2080765871149397e-14
353,1.1994398538012498e-14
354,1.1908749323078209e-14
355,1.1823812201156685e-14
356,1.173958119769446e-14
357,1.1656050388349265e-14
358,1.157321389856846e-14
359,1.1491065903171009e-14
360,1.1409600625932855e-14
361,1.1328812339175888e-14
362,1.1248695363360261e-14
363,1.1169244066680172e-14
364,1.1090452864662978e-14
365,1.10123162197717e-14
366,1.0934828641010858e-14
367,1.0857984683535574e-14
368,1.078177894826399e-14
369,1.0706206081492874e-14
370,1.0631260774516487e-14
371,1.0556937763248642e-14
372,1.048323182784791e-14
373,1.0410137792345951e-14
374,1.0337650524279003e-14
375,1.0265764934322393e-14
376,1.0194475975928194e-14
377,1.0123778644965821e-14
378,1.0053667979365717e-14
379,9.984139058765982e-15
380,9.915187004161955e-15
381,9.846806977558776e-15
382,9.77899418162681e-15
383,9.711743859360005e-15
384,9.645051293737053e-15
385,9.578911807385457e-15
386,9.513320762248352e-15
387,9.448273559254175e-15
388,9.383765637989063e-15
389,9.319792476372011e-15
390,9.256349590332758e-15
391,9.193432533492346e-15
392,9.131036896846417e-15
393,9.069158308451092e-15
394,9.007792433111528e-15
395,8.9469349720731e-15
