,AGWP_n2o
740,1.8106226788593648e-13
741,1.8089623188851137e-13
742,1.807303481478362e-13
743,1.8056461652428998e-13
744,1.8039903687837952e-13
745,1.8023360907073993e-13
746,1.800683329621338e-13
747,1.7990320841345162e-13
748,1.7973823528571133e-13
749,1.7957341344005826e-13
750,1.7940874273776524e-13
751,1.7924422304023214e-13
752,1.790798542089861e-13
753,1.7891563610568112e-13
754,1.7875156859209808e-13
755,1.785876515301447e-13
756,1.7842388478185513e-13
757,1.7826026820939026e-13
758,1.7809680167503725e-13
759,1.779334850412096e-13
760,1.7777031817044693e-13
761,1.7760730092541497e-13
762,1.7744443316890535e-13
763,1.7728171476383552e-13
764,1.771191455732486e-13
765,1.7695672546031345e-13
766,1.767944542883242e-13
767,1.766323319207005e-13
768,1.7647035822098716e-13
769,1.7630853305285417e-13
770,1.761468562800965e-13
771,1.7598532776663402e-13
772,1.7582394737651145e-13
773,1.7566271497389807e-13
774,1.7550163042308782e-13
775,1.753406935884991e-13
776,1.7517990433467446e-13
777,1.750192625262809e-13
778,1.7485876802810934e-13
779,1.7469842070507482e-13
780,1.745382204222162e-13
781,1.7437816704469604e-13
782,1.7421826043780066e-13
783,1.7405850046693983e-13
784,1.7389888699764677e-13
785,1.7373941989557804e-13
786,1.735800990265133e-13
787,1.7342092425635538e-13
788,1.7326189545113007e-13
789,1.7310301247698602e-13
790,1.7294427520019456e-13
791,1.7278568348714964e-13
792,1.726272372043679e-13
793,1.7246893621848815e-13
794,1.7231078039627168e-13
795,1.7215276960460188e-13
796,1.7199490371048417e-13
797,1.7183718258104603e-13
798,1.716796060835367e-13
799,1.7152217408532722e-13
800,1.713648864539102e-13
801,1.712077430568997e-13
802,1.7105074376203142e-13
803,1.7089388843716207e-13
804,1.7073717695026966e-13
805,1.705806091694533e-13
806,1.7042418496293295e-13
807,1.7026790419904956e-13
808,1.7011176674626465e-13
809,1.6995577247316048e-13
810,1.697999212484398e-13
811,1.6964421294092567e-13
812,1.6948864741956158e-13
813,1.693332245534111e-13
814,1.6917794421165795e-13
815,1.6902280626360574e-13
816,1.688678105786779e-13
817,1.6871295702641774e-13
818,1.6855824547648804e-13
819,1.6840367579867123e-13
820,1.6824924786286906e-13
821,1.6809496153910265e-13
822,1.6794081669751227e-13
823,1.6778681320835725e-13
824,1.6763295094201594e-13
825,1.674792297689856e-13
826,1.6732564955988205e-13
827,1.6717221018544002e-13
828,1.6701891151651255e-13
829,1.6686575342407135e-13
830,1.6671273577920618e-13
831,1.6655985845312515e-13
832,1.6640712131715452e-13
833,1.6625452424273845e-13
834,1.6610206710143906e-13
835,1.659497497649362e-13
836,1.6579757210502737e-13
837,1.6564553399362774e-13
838,1.654936353027698e-13
839,1.653418759046035e-13
840,1.6519025567139592e-13
841,1.650387744755314e-13
842,1.6488743218951122e-13
843,1.6473622868595357e-13
844,1.645851638375935e-13
845,1.6443423751728275e-13
846,1.642834495979896e-13
847,1.6413279995279893e-13
848,1.639822884549119e-13
849,1.63831914977646e-13
850,1.6368167939443487e-13
851,1.635315815788282e-13
852,1.6338162140449168e-13
853,1.6323179874520678e-13
854,1.630821134748708e-13
855,1.6293256546749667e-13
856,1.627831545972127e-13
857,1.6263388073826283e-13
858,1.6248474376500617e-13
859,1.623357435519172e-13
860,1.6218687997358532e-13
861,1.6203815290471505e-13
862,1.6188956222012584e-13
863,1.6174110779475175e-13
864,1.615927895036418e-13
865,1.6144460722195933e-13
866,1.6129656082498232e-13
867,1.6114865018810307e-13
868,1.610008751868281e-13
869,1.6085323569677824e-13
870,1.6070573159368818e-13
871,1.605583627534067e-13
872,1.6041112905189638e-13
873,1.6026403036523355e-13
874,1.6011706656960815e-13
875,1.5997023754132378e-13
876,1.5982354315679724e-13
877,1.596769832925589e-13
878,1.595305578252522e-13
879,1.5938426663163378e-13
880,1.592381095885732e-13
881,1.5909208657305302e-13
882,1.5894619746216863e-13
883,1.5880044213312801e-13
884,1.5865482046325184e-13
885,1.5850933232997324e-13
886,1.5836397761083775e-13
887,1.5821875618350326e-13
888,1.580736679257397e-13
889,1.579287127154293e-13
890,1.5778389043056604e-13
891,1.576392009492559e-13
892,1.574946441497167e-13
893,1.573502199102778e-13
894,1.5720592810938022e-13
895,1.570617686255765e-13
896,1.5691774133753033e-13
897,1.5677384612401694e-13
898,1.5663008286392253e-13
899,1.5648645143624446e-13
900,1.5634295172009104e-13
901,1.5619958359468138e-13
902,1.5605634693934543e-13
903,1.559132416335237e-13
904,1.5577026755676738e-13
905,1.55627424588738e-13
906,1.5548471260920746e-13
907,1.5534213149805797e-13
908,1.5519968113528186e-13
909,1.5505736140098147e-13
910,1.5491517217536915e-13
911,1.5477311333876703e-13
912,1.5463118477160705e-13
913,1.5448938635443074e-13
914,1.5434771796788923e-13
915,1.542061794927431e-13
916,1.5406477080986214e-13
917,1.5392349180022552e-13
918,1.5378234234492154e-13
919,1.536413223251475e-13
920,1.535004316222097e-13
921,1.533596701175232e-13
922,1.532190376926119e-13
923,1.530785342291082e-13
924,1.5293815960875322e-13
925,1.5279791371339643e-13
926,1.5265779642499562e-13
927,1.525178076256169e-13
928,1.5237794719743447e-13
929,1.5223821502273067e-13
930,1.520986109838956e-13
931,1.5195913496342737e-13
932,1.518197868439318e-13
933,1.5168056650812238e-13
934,1.5154147383882012e-13
