,AGWP_ch4
715,2.476876674630576e-12
716,2.476968302728305e-12
717,2.4770593439309278e-12
718,2.4771498023730044e-12
719,2.4772396821583058e-12
720,2.4773289873600576e-12
721,2.4774177220211813e-12
722,2.4775058901545293e-12
723,2.477593495743124e-12
724,2.47768054274039e-12
725,2.477767035070384e-12
726,2.47785297662803e-12
727,2.4779383712793433e-12
728,2.4780232228616604e-12
729,2.4781075351838584e-12
730,2.4781913120265844e-12
731,2.478274557142471e-12
732,2.4783572742563598e-12
733,2.4784394670655145e-12
734,2.47852113923984e-12
735,2.4786022944220942e-12
736,2.478682936228102e-12
737,2.478763068246964e-12
738,2.4788426940412654e-12
739,2.4789218171472844e-12
740,2.479000441075196e-12
741,2.4790785693092764e-12
742,2.479156205308105e-12
743,2.479233352504765e-12
744,2.479310014307042e-12
745,2.47938619409762e-12
746,2.4794618952342784e-12
747,2.479537121050086e-12
748,2.4796118748535927e-12
749,2.4796861599290198e-12
750,2.479759979536452e-12
751,2.4798333369120202e-12
752,2.4799062352680938e-12
753,2.479978677793461e-12
754,2.480050667653512e-12
755,2.4801222079904244e-12
756,2.4801933019233408e-12
757,2.4802639525485467e-12
758,2.4803341629396503e-12
759,2.4804039361477573e-12
760,2.480473275201646e-12
761,2.4805421831079374e-12
762,2.4806106628512725e-12
763,2.480678717394478e-12
764,2.4807463496787367e-12
765,2.480813562623755e-12
766,2.4808803591279304e-12
767,2.480946742068514e-12
768,2.4810127143017756e-12
769,2.481078278663166e-12
770,2.481143437967477e-12
771,2.481208195009002e-12
772,2.4812725525616946e-12
773,2.481336513379323e-12
774,2.481400080195629e-12
775,2.4814632557244817e-12
776,2.4815260426600306e-12
777,2.4815884436768553e-12
778,2.4816504614301213e-12
779,2.481712098555725e-12
780,2.4817733576704444e-12
781,2.4818342413720863e-12
782,2.4818947522396302e-12
783,2.481954892833378e-12
784,2.4820146656950915e-12
785,2.4820740733481394e-12
786,2.4821331182976364e-12
787,2.482191803030586e-12
788,2.4822501300160155e-12
789,2.482308101705119e-12
790,2.48236572053139e-12
791,2.4824229889107585e-12
792,2.482479909241728e-12
793,2.4825364839055065e-12
794,2.4825927152661394e-12
795,2.4826486056706415e-12
796,2.4827041574491276e-12
797,2.4827593729149417e-12
798,2.482814254364785e-12
799,2.482868804078843e-12
800,2.482923024320914e-12
801,2.4829769173385306e-12
802,2.483030485363088e-12
803,2.483083730609964e-12
804,2.4831366552786433e-12
805,2.4831892615528366e-12
806,2.483241551600606e-12
807,2.483293527574477e-12
808,2.483345191611563e-12
809,2.4833965458336804e-12
810,2.4834475923474647e-12
811,2.4834983332444877e-12
812,2.4835487706013697e-12
813,2.483598906479897e-12
814,2.4836487429271303e-12
815,2.4836982819755206e-12
816,2.4837475256430174e-12
817,2.4837964759331805e-12
818,2.4838451348352887e-12
819,2.483893504324449e-12
820,2.4839415863617035e-12
821,2.483989382894134e-12
822,2.484036895854973e-12
823,2.484084127163704e-12
824,2.4841310787261676e-12
825,2.4841777524346635e-12
826,2.4842241501680563e-12
827,2.484270273791873e-12
828,2.4843161251584065e-12
829,2.4843617061068163e-12
830,2.4844070184632236e-12
831,2.4844520640408153e-12
832,2.4844968446399383e-12
833,2.484541362048197e-12
834,2.4845856180405494e-12
835,2.4846296143794027e-12
836,2.4846733528147103e-12
837,2.4847168350840604e-12
838,2.4847600629127733e-12
839,2.484803038013993e-12
840,2.4848457620887784e-12
841,2.4848882368261937e-12
842,2.4849304639034e-12
843,2.4849724449857437e-12
844,2.485014181726846e-12
845,2.4850556757686905e-12
846,2.4850969287417105e-12
847,2.4851379422648754e-12
848,2.4851787179457785e-12
849,2.4852192573807195e-12
850,2.4852595621547927e-12
851,2.4852996338419675e-12
852,2.4853394740051732e-12
853,2.4853790841963823e-12
854,2.4854184659566917e-12
855,2.485457620816403e-12
856,2.485496550295106e-12
857,2.4855352559017568e-12
858,2.4855737391347573e-12
859,2.4856120014820337e-12
860,2.4856500444211168e-12
861,2.4856878694192164e-12
862,2.485725477933302e-12
863,2.485762871410174e-12
864,2.485800051286546e-12
865,2.4858370189891133e-12
866,2.4858737759346337e-12
867,2.4859103235299955e-12
868,2.4859466631722963e-12
869,2.485982796248911e-12
870,2.4860187241375673e-12
871,2.4860544482064172e-12
872,2.4860899698141066e-12
873,2.486125290309846e-12
874,2.486160411033481e-12
875,2.4861953333155633e-12
876,2.4862300584774163e-12
877,2.4862645878312056e-12
878,2.4862989226800078e-12
879,2.4863330643178737e-12
880,2.4863670140298996e-12
881,2.4864007730922917e-12
882,2.486434342772431e-12
883,2.486467724328939e-12
884,2.486500919011744e-12
885,2.4865339280621424e-12
886,2.486566752712864e-12
887,2.4865993941881365e-12
888,2.4866318537037445e-12
889,2.486664132467096e-12
890,2.4866962316772807e-12
891,2.486728152525132e-12
892,2.4867598961932903e-12
893,2.4867914638562585e-12
894,2.4868228566804663e-12
895,2.486854075824327e-12
896,2.486885122438298e-12
897,2.4869159976649368e-12
898,2.4869467026389607e-12
899,2.4869772384873047e-12
900,2.4870076063291766e-12
901,2.4870378072761168e-12
902,2.4870678424320496e-12
903,2.487097712893345e-12
904,2.487127419748868e-12
905,2.4871569640800365e-12
906,2.487186346960878e-12
907,2.4872155694580776e-12
908,2.487244632631037e-12
909,2.487273537531926e-12
910,2.487302285205732e-12
911,2.4873308766903183e-12
912,2.4873593130164725e-12
913,2.487387595207957e-12
914,2.487415724281563e-12
915,2.4874437012471584e-12
916,2.4874715271077416e-12
917,2.487499202859487e-12
918,2.4875267294917993e-12
919,2.4875541079873584e-12
920,2.487581339322172e-12
921,2.487608424465619e-12
922,2.4876353643805045e-12
923,2.4876621600231017e-12
924,2.4876888123432004e-12
925,2.4877153222841564e-12
926,2.487741690782935e-12
927,2.4877679187701587e-12
928,2.4877940071701535e-12
929,2.4878199569009935e-12
930,2.4878457688745463e-12
931,2.487871443996518e-12
932,2.487896983166496e-12
933,2.4879223872779964e-12
934,2.4879476572185055e-12
935,2.4879727938695233e-12
936,2.4879977981066064e-12
937,2.488022670799413e-12
938,2.4880474128117415e-12
939,2.4880720250015763e-12
940,2.488096508221127e-12
941,2.4881208633168726e-12
942,2.4881450911295983e-12
943,2.488169192494441e-12
944,2.4881931682409262e-12
945,2.488217019193011e-12
946,2.488240746169123e-12
947,2.4882643499821977e-12
948,2.488287831439722e-12
949,2.488311191343768e-12
950,2.4883344304910372e-12
951,2.4883575496728952e-12
952,2.488380549675411e-12
953,2.4884034312793935e-12
954,2.4884261952604316e-12
955,2.4884488423889295e-12
956,2.4884713734301435e-12
957,2.488493789144219e-12
958,2.488516090286229e-12
959,2.4885382776062054e-12
960,2.48856035184918e-12
961,2.4885823137552167e-12
962,2.4886041640594468e-12
963,2.4886259034921075e-12
964,2.488647532778572e-12
965,2.488669052639387e-12
966,2.4886904637903055e-12
967,2.488711766942322e-12
968,2.4887329628017046e-12
969,2.4887540520700298e-12
970,2.488775035444215e-12
971,2.488795913616551e-12
972,2.488816687274736e-12
973,2.488837357101907e-12
974,2.488857923776673e-12
975,2.488878387973144e-12
976,2.4888987503609675e-12
977,2.4889190116053554e-12
978,2.488939172367119e-12
979,2.4889592333026944e-12
980,2.488979195064182e-12
981,2.4889990582993683e-12
982,2.489018823651761e-12
983,2.489038491760618e-12
984,2.4890580632609763e-12
985,2.4890775387836837e-12
986,2.4890969189554264e-12
987,2.4891162043987575e-12
988,2.4891353957321287e-12
989,2.4891544935699163e-12
990,2.489173498522451e-12
991,2.4891924111960455e-12
992,2.489211232193024e-12
993,2.4892299621117484e-12
994,2.489248601546646e-12
995,2.48926715108824e-12
996,2.48928561132317e-12
997,2.489303982834227e-12
998,2.489322266200375e-12
999,2.489340461996779e-12
1000,2.489358570794832e-12
