,AGWP_ch4
717,4.587360153527774e-16
718,4.548648484204476e-16
719,4.51026349368808e-16
720,4.472202425211841e-16
721,4.434462545272715e-16
722,4.3970411434350746e-16
723,4.359935532136016e-16
724,4.323143046492353e-16
725,4.286661044109257e-16
726,4.250486904890425e-16
727,4.2146180308499624e-16
728,4.1790518459257637e-16
729,4.1437857957945135e-16
730,4.1088173476882507e-16
731,4.074143990212442e-16
732,4.039763233165643e-16
733,4.005672607360635e-16
734,3.97186966444709e-16
735,3.938351976735767e-16
736,3.9051171370241043e-16
737,3.872162758423382e-16
738,3.839486474187274e-16
739,3.8070859375418736e-16
740,3.7749588215171685e-16
741,3.743102818779889e-16
742,3.7115156414678406e-16
743,3.6801950210255457e-16
744,3.649138708041347e-16
745,3.6183444720858585e-16
746,3.5878101015517584e-16
747,3.55753340349498e-16
748,3.5275122034771933e-16
749,3.497744345409647e-16
750,3.468227691398341e-16
751,3.438960121590446e-16
752,3.4099395340220954e-16
753,3.3811638444673987e-16
754,3.352630986288765e-16
755,3.3243389102884876e-16
756,3.296285584561551e-16
757,3.2684689943497344e-16
758,3.240887141896878e-16
759,3.2135380463054256e-16
760,3.1864197433941653e-16
761,3.159530285557145e-16
762,3.132867741623817e-16
763,3.106430196720328e-16
764,3.0802157521319975e-16
765,3.054222525166976e-16
766,3.028448649020993e-16
767,3.002892272643322e-16
768,2.9775515606038127e-16
769,2.9524246929610966e-16
770,2.9275098651318593e-16
771,2.902805287761248e-16
772,2.8783091865943676e-16
773,2.854019802348837e-16
774,2.8299353905884683e-16
775,2.8060542215979523e-16
776,2.782374580258648e-16
777,2.7588947659254113e-16
778,2.735613092304438e-16
779,2.712527887332177e-16
780,2.6896374930552256e-16
781,2.666940265511265e-16
782,2.6444345746110066e-16
783,2.622118804021091e-16
784,2.599991351048033e-16
785,2.578050626523101e-16
786,2.556295054688188e-16
787,2.534723073082652e-16
788,2.513333132431084e-16
789,2.492123696532065e-16
790,2.471093242147813e-16
791,2.450240258894796e-16
