,AGWP_co2
212,2.5499044353519003e-14
213,2.5599552674905884e-14
214,2.5699970482825115e-14
215,2.5800298158974725e-14
216,2.5900536080407813e-14
217,2.6000684619628143e-14
218,2.6100744144683498e-14
219,2.6200715019256952e-14
220,2.6300597602756033e-14
221,2.6400392250400006e-14
222,2.650009931330495e-14
223,2.6599719138567156e-14
224,2.6699252069344444e-14
225,2.6798698444935755e-14
226,2.6898058600858937e-14
227,2.6997332868926733e-14
228,2.7096521577321007e-14
229,2.71956250506655e-14
230,2.7294643610096656e-14
231,2.7393577573333094e-14
232,2.7492427254743413e-14
233,2.7591192965412367e-14
234,2.768987501320582e-14
235,2.778847370283393e-14
236,2.7886989335913165e-14
237,2.7985422211026748e-14
238,2.808377262378381e-14
239,2.8182040866877234e-14
240,2.828022723014016e-14
241,2.8378332000601297e-14
242,2.84763554625388e-14
243,2.8574297897533223e-14
244,2.8672159584519017e-14
245,2.876994079983506e-14
246,2.8867641817273987e-14
247,2.896526290813033e-14
248,2.9062804341247746e-14
249,2.916026638306507e-14
250,2.925764929766138e-14
251,2.935495334680007e-14
252,2.945217878997181e-14
253,2.954932588443687e-14
254,2.964639488526602e-14
255,2.974338604538098e-14
256,2.98402996155937e-14
257,2.993713584464477e-14
258,3.003389497924117e-14
259,3.013057726409294e-14
260,3.022718294194922e-14
261,3.032371225363336e-14
262,3.042016543807732e-14
263,3.051654273235529e-14
264,3.061284437171658e-14
265,3.070907058961779e-14
266,3.080522161775416e-14
267,3.090129768609039e-14
268,3.0997299022890693e-14
269,3.109322585474814e-14
270,3.1189078406613475e-14
271,3.128485690182316e-14
272,3.138056156212696e-14
273,3.147619260771473e-14
274,3.157175025724279e-14
275,3.166723472785963e-14
276,3.1762646235230994e-14
277,3.1857984993564605e-14
278,3.1953251215634144e-14
279,3.204844511280282e-14
280,3.214356689504635e-14
281,3.223861677097555e-14
282,3.233359494785827e-14
283,3.2428501631641083e-14
284,3.252333702697017e-14
285,3.2618101337212136e-14
286,3.271279476447402e-14
287,3.280741750962309e-14
288,3.290196977230621e-14
289,3.299645175096862e-14
290,3.309086364287248e-14
291,3.31852056441149e-14
292,3.327947794964571e-14
293,3.337368075328466e-14
294,3.3467814247738426e-14
295,3.3561878624617143e-14
296,3.365587407445065e-14
297,3.3749800786704336e-14
298,3.384365894979465e-14
299,3.3937448751104297e-14
300,3.40311703769972e-14
301,3.412482401283285e-14
302,3.421840984298076e-14
303,3.431192805083427e-14
304,3.440537881882424e-14
305,3.4498762328432374e-14
306,3.459207876020434e-14
307,3.4685328293762515e-14
308,3.477851110781849e-14
309,3.487162738018542e-14
310,3.496467728778992e-14
311,3.5057661006683914e-14
312,3.515057871205602e-14
313,3.524343057824294e-14
314,3.533621677874042e-14
315,3.542893748621401e-14
316,3.5521592872509715e-14
317,3.561418310866432e-14
318,3.5706708364915486e-14
319,3.579916881071173e-14
320,3.589156461472217e-14
321,3.598389594484592e-14
322,3.607616296822161e-14
323,3.6168365851236336e-14
324,3.626050475953473e-14
325,3.6352579858027693e-14
326,3.6444591310900963e-14
327,3.6536539281623513e-14
328,3.662842393295587e-14
329,3.672024542695808e-14
330,3.681200392499775e-14
331,3.6903699587757695e-14
332,3.699533257524353e-14
333,3.708690304679123e-14
334,3.717841116107426e-14
335,3.726985707611091e-14
336,3.7361240949271146e-14
337,3.7452562937283526e-14
338,3.7543823196241996e-14
339,3.76350218816124e-14
340,3.772615914823903e-14
341,3.7817235150350864e-14
342,3.790825004156793e-14
343,3.799920397490728e-14
344,3.8090097102789e-14
345,3.818092957704213e-14
346,3.827170154891033e-14
347,3.836241316905761e-14
348,3.8453064587573794e-14
349,3.85436559539799e-14
350,3.863418741723369e-14
351,3.872465912573454e-14
352,3.8815071227328883e-14
353,3.890542386931504e-14
354,3.899571719844825e-14
355,3.908595136094544e-14
356,3.9176126502490033e-14
357,3.926624276823656e-14
358,3.9356300302815277e-14
359,3.9446299250336623e-14
360,3.953623975439566e-14
361,3.9626121958076323e-14
362,3.9715946003955757e-14
363,3.980571203410847e-14
364,3.9895420190110376e-14
365,3.9985070613042874e-14
366,4.007466344349673e-14
367,4.016419882157606e-14
368,4.025367688690206e-14
369,4.034309777861672e-14
370,4.043246163538659e-14
371,4.0521768595406404e-14
372,4.061101879640245e-14
373,4.0700212375636264e-14
374,4.078934946990799e-14
375,4.087843021555968e-14
376,4.0967454748478666e-14
377,4.105642320410085e-14
378,4.114533571741383e-14
379,4.1234192422960075e-14
380,4.132299345484001e-14
381,4.141173894671508e-14
382,4.150042903181073e-14
383,4.1589063842919335e-14
384,4.1677643512403074e-14
385,4.1766168172196834e-14
386,4.185463795381097e-14
387,4.194305298833404e-14
388,4.2031413406435574e-14
389,4.211971933836871e-14
390,4.2207970913972784e-14
391,4.229616826267595e-14
392,4.2384311513497765e-14
393,4.247240079505158e-14
394,4.2560436235547134e-14
395,4.2648417962792865e-14
396,4.273634610419839e-14
397,4.2824220786776796e-14
398,4.291204213714703e-14
399,4.299981028153603e-14
400,4.308752534578121e-14
401,4.317518745533246e-14
402,4.326279673525442e-14
403,4.335035331022869e-14
404,4.343785730455579e-14
405,4.3525308842157444e-14
406,4.361270804657848e-14
407,4.370005504098893e-14
408,4.378734994818606e-14
409,4.387459289059632e-14
410,4.39617839902772e-14
411,4.40489233689193e-14
412,4.413601114784815e-14
413,4.4223047448026105e-14
414,4.4310032390054114e-14
415,4.43969660941736e-14
416,4.448384868026835e-14
417,4.457068026786603e-14
418,4.465746097614019e-14
419,4.4744190923911876e-14
420,4.483087022965127e-14
421,4.491749901147956e-14
422,4.500407738717039e-14
423,4.5090605474151655e-14
424,4.5177083389507e-14
425,4.526351124997754e-14
426,4.534988917196334e-14
427,4.543621727152502e-14
428,4.552249566438531e-14
429,4.560872446593055e-14
430,4.569490379121215e-14
431,4.57810337549482e-14
432,4.586711447152484e-14
433,4.5953146054997714e-14
434,4.6039128619093474e-14
435,4.612506227721113e-14
436,4.621094714242354e-14
437,4.6296783327478673e-14
438,4.63825709448011e-14
439,4.646831010649332e-14
440,4.655400092433706e-14
441,4.663964350979469e-14
442,4.672523797401044e-14
443,4.681078442781176e-14
444,4.689628298171059e-14
445,4.698173374590472e-14
446,4.7067136830278867e-14
447,4.7152492344406125e-14
448,4.723780039754905e-14
449,4.7323061098660995e-14
450,4.7408274556387255e-14
451,4.749344087906631e-14
452,4.757856017473094e-14
453,4.766363255110952e-14
454,4.774865811562706e-14
455,4.78336369754065e-14
456,4.791856923726973e-14
457,4.800345500773879e-14
458,4.808829439303698e-14
459,4.817308749908996e-14
460,4.8257834431526876e-14
461,4.8342535295681504e-14
462,4.842719019659318e-14
463,4.851179923900805e-14
464,4.859636252738003e-14
465,4.8680880165871914e-14
466,4.8765352258356415e-14
467,4.8849778908417146e-14
468,4.8934160219349756e-14
469,4.9018496294162876e-14
470,4.9102787235579126e-14
471,4.918703314603623e-14
472,4.927123412768786e-14
473,4.935539028240474e-14
474,4.943950171177558e-14
475,4.952356851710807e-14
476,4.960759079942985e-14
477,4.9691568659489474e-14
478,4.9775502197757305e-14
479,4.985939151442658e-14
480,4.9943236709414235e-14
481,5.0027037882361906e-14
482,5.011079513263683e-14
483,5.019450855933274e-14
484,5.0278178261270884e-14
485,5.036180433700078e-14
486,5.04453868848012e-14
487,5.0528926002681134e-14
488,5.0612421788380506e-14
489,5.0695874339371223e-14
490,5.077928375285794e-14
491,5.0862650125779e-14
492,5.0945973554807275e-14
493,5.102925413635101e-14
494,5.111249196655469e-14
495,5.1195687141299925e-14
496,5.127883975620621e-14
497,5.136194990663187e-14
498,5.1445017687674814e-14
499,5.152804319417335e-14
500,5.161102652070709e-14
501,5.1693967761597756e-14
502,5.17768670109099e-14
503,5.1859724362451785e-14
504,5.194253990977621e-14
505,5.2025313746181276e-14
506,5.210804596471115e-14
507,5.219073665815693e-14
508,5.227338591905737e-14
509,5.235599383969972e-14
510,5.24385605121204e-14
511,5.252108602810591e-14
512,5.260357047919349e-14
513,5.2686013956671946e-14
514,5.276841655158239e-14
515,5.285077835471897e-14
516,5.293309945662969e-14
517,5.30153799476171e-14
518,5.309761991773907e-14
519,5.3179819456809516e-14
520,5.326197865439915e-14
521,5.3344097599836204e-14
522,5.3426176382207166e-14
523,5.3508215090357545e-14
524,5.3590213812892506e-14
525,5.367217263817764e-14
526,5.375409165433973e-14
527,5.383597094926737e-14
528,5.3917810610611765e-14
529,5.399961072578734e-14
530,5.408137138197252e-14
531,5.416309266611043e-14
532,5.4244774664909535e-14
533,5.432641746484439e-14
534,5.4408021152156257e-14
535,5.4489585812853916e-14
536,5.457111153271424e-14
537,5.46525983972829e-14
538,5.473404649187502e-14
539,5.4815455901576025e-14
540,5.489682671124202e-14
541,5.4978159005500695e-14
542,5.505945286875188e-14
543,5.5140708385168264e-14
544,5.522192563869603e-14
545,5.530310471305553e-14
546,5.538424569174185e-14
547,5.546534865802564e-14
548,5.5546413694953625e-14
549,5.562744088534925e-14
550,5.570843031181343e-14
551,5.5789382056725093e-14
552,5.587029620224186e-14
553,5.595117283030068e-14
554,5.603201202261847e-14
555,5.611281386069269e-14
556,5.619357842580213e-14
557,5.6274305799007314e-14
558,5.6354996061151315e-14
559,5.643564929286025e-14
560,5.651626557454397e-14
561,5.659684498639673e-14
562,5.6677387608397615e-14
563,5.6757893520311363e-14
564,5.683836280168884e-14
565,5.691879553186773e-14
566,5.699919178997306e-14
567,5.707955165491787e-14
568,5.715987520540381e-14
569,5.724016251992178e-14
570,5.732041367675231e-14
571,5.740062875396643e-14
572,5.748080782942619e-14
573,5.756095098078511e-14
574,5.764105828548892e-14
575,5.772112982077612e-14
576,5.780116566367849e-14
577,5.788116589102176e-14
578,5.796113057942618e-14
579,5.804105980530697e-14
580,5.812095364487514e-14
581,5.820081217413783e-14
582,5.828063546889901e-14
583,5.836042360476004e-14
584,5.844017665712016e-14
585,5.851989470117718e-14
586,5.859957781192793e-14
587,5.867922606416895e-14
588,5.875883953249686e-14
589,5.883841829130912e-14
590,5.891796241480449e-14
591,5.899747197698353e-14
592,5.907694705164937e-14
593,5.915638771240794e-14
594,5.923579403266878e-14
595,5.931516608564554e-14
596,5.93945039443564e-14
597,5.947380768162477e-14
598,5.955307737007972e-14
599,5.963231308215661e-14
600,5.971151489009752e-14
601,5.979068286595195e-14
602,5.986981708157718e-14
603,5.994891760863893e-14
604,6.002798451861183e-14
605,6.010701788277994e-14
606,6.018601777223738e-14
607,6.026498425788871e-14
608,6.03439174104496e-14
609,6.04228173004472e-14
610,6.050168399822085e-14
611,6.058051757392242e-14
612,6.065931809751693e-14
613,6.073808563878303e-14
614,6.081682026731363e-14
615,6.089552205251618e-14
616,6.097419106361339e-14
617,6.105282736964367e-14
618,6.113143103946165e-14
619,6.12100021417386e-14
620,6.128854074496315e-14
621,6.136704691744157e-14
622,6.144552072729834e-14
623,6.152396224247681e-14
624,6.160237153073941e-14
625,6.168074865966837e-14
626,6.175909369666624e-14
627,6.183740670895609e-14
628,6.191568776358247e-14
629,6.199393692741142e-14
630,6.207215426713141e-14
631,6.215033984925336e-14
632,6.22284937401116e-14
633,6.230661600586399e-14
634,6.238470671249265e-14
635,6.246276592580424e-14
